,Code,Name,Country,Exchange,Currency,Type,Isin
0,0P000019EV,Franklin Floating Rate Fund PLC,USA,OTC,USD,FUND,IE0032578035
1,0P00015KF1,Lord Abbett Multi Sector Income,USA,OTC,USD,FUND,IE00BS7K1B65
2,0P00015KFC,Lord Abbett Multi Sector Income,USA,OTC,USD,FUND,IE00BS7K0Z35
3,A,Agilent Technologies Inc,USA,NYSE,USD,Common Stock,US00846U1016
4,AA,Alcoa Corporation,USA,NYSE,USD,Common Stock,US0138721065
5,AAA,Listed Funds Trust - AAF First Priority CLO Bond ETF,USA,NYSE ARCA,USD,ETF,US53656F6566
6,AAAAX,DEUTSCHE REAL ASSETS FUND CLASS A,USA,NMFQS,USD,FUND,
7,AAACX,AAACX,USA,NASDAQ,USD,FUND,
8,AAAEX,AAAEX,USA,NMFQS,USD,FUND,
9,AAAFX,AAAFX,USA,NMFQS,USD,FUND,
10,AAAGX,THRIVENT LARGE CAP GROWTH FUND CLASS A,USA,NMFQS,USD,FUND,US8858821007
11,AAAHX,AAAHX,USA,NMFQS,USD,FUND,
12,AAAIX,STRATEGIC ALLOCATION: AGGRESSIVE FUND I CLASS,USA,NMFQS,USD,FUND,US0250858539
13,AAAJX,AAAJX,USA,NMFQS,USD,FUND,
14,AAAKX,AAAKX,USA,NMFQS,USD,FUND,
15,AAALF,Aareal Bank AG,USA,PINK,USD,Common Stock,
16,AAALX,AAALX,USA,NMFQS,USD,FUND,
17,AAALY,Aareal Bank AG,USA,PINK,USD,Common Stock,US00254K1088
18,AAAMX,AAAMX,USA,NMFQS,USD,FUND,
19,AAANX,HORIZON ACTIVE ASSET ALLOCATION FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US44053A3095
20,AAAOX,AAAOX,USA,NMFQS,USD,FUND,
21,AAAPX,DEUTSCHE REAL ASSETS FUND CLASS C,USA,NMFQS,USD,FUND,
22,AAAQX,DEUTSCHE REAL ASSETS FUND CLASS R,USA,NMFQS,USD,FUND,
23,AAARX,STRATEGIC ALLOCATION: AGGRESSIVE FUND R CLASS,USA,NMFQS,USD,FUND,
24,AAASX,DEUTSCHE REAL ASSETS FUND CLASS S,USA,NMFQS,USD,FUND,
25,AAATX,AMERICAN FUNDS 2010 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T1007
26,AAAU,Goldman Sachs Physical Gold ETF,USA,BATS,USD,ETF,US7154261025
27,AAAUX,STRATEGIC ALLOCATION: AGGRESSIVE FUND R6 CLASS,USA,NMFQS,USD,FUND,
28,AAAVX,DEUTSCHE REAL ASSETS FUND CLASS R6,USA,NMFQS,USD,FUND,
29,AAAWX,DEUTSCHE REAL ASSETS FUND CLASS T,USA,NMFQS,USD,FUND,
30,AAAZX,DEUTSCHE REAL ASSETS FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,
31,AABB,Asia Broadband Inc,USA,PINK,USD,Common Stock,US04518L1008
32,AABCX,PUTNAM DYNAMIC ASSET ALLOCATION BALANCED FUND CLASS C SHARES,USA,NMFQS,USD,FUND,US7464448767
33,AABEX,AABEX,USA,NMFQS,USD,FUND,
34,AABFX,THRIVENT BALANCED INCOME PLUS FUND CLASS A,USA,NMFQS,USD,FUND,US8858824076
35,AABGX,AABGX,USA,NMFQS,USD,FUND,
36,AABHX,AABHX,USA,NMFQS,USD,FUND,
37,AABJX,AABJX,USA,NMFQS,USD,FUND,
38,AABKX,AABKX,USA,NMFQS,USD,FUND,
39,AABOX,BOND FUND CLASS A,USA,NMFQS,USD,FUND,
40,AABPX,AMERICAN BEACON BALANCED FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US02368A8282
41,AABQX,American Century One Choice Blend+ 2025 Portfolio A Class,USA,NMFQS,USD,FUND,
42,AABRX,AABRX,USA,NMFQS,USD,FUND,
43,AABTX,AMERICAN FUNDS 2015 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T7046
44,AABVF,Aberdeen International Inc,USA,PINK,USD,Common Stock,
45,AABVX,AABVX,USA,NMFQS,USD,FUND,
46,AABWX,AABWX,USA,NMFQS,USD,FUND,
47,AABYX,AABYX,USA,NMFQS,USD,FUND,
48,AABZX,AABZX,USA,NMFQS,USD,FUND,
49,AAC,Ares Acquisition Corporation,USA,NYSE,USD,Common Stock,KYG330321061
50,AACAF,AAC Technologies Holdings Inc,USA,PINK,USD,Common Stock,
51,AACAY,AAC Technologies Holdings Inc,USA,PINK,USD,Common Stock,US0003041052
52,AACCX,STRATEGIC ALLOCATION: CONSERVATIVE FUND C CLASS,USA,NMFQS,USD,FUND,
53,AACDX,STRATEGIC ALLOCATION: CONSERVATIVE FUND R6 CLASS,USA,NMFQS,USD,FUND,
54,AACFX,INVESCO GREATER CHINA FUND CLASS A,USA,NMFQS,USD,FUND,
55,AACG,ATA Creativity Global,USA,NASDAQ,USD,Common Stock,US00211V1061
56,AACGX,STRATEGIC ALLOCATION: CONSERVATIVE FUND R5 CLASS,USA,NMFQS,USD,FUND,
57,AACHX,AACHX,USA,NMFQS,USD,FUND,
58,AACI,Armada Acquisition Corp. I Common Stock,USA,NASDAQ,USD,Common Stock,US04208V1035
59,AACIU,Armada Acquisition Corp. I Unit,USA,NASDAQ,USD,Common Stock,US04208V2025
60,AACIW,Armada Acquisition Corp. I Warrant,USA,NASDAQ,USD,Common Stock,
61,AACIX,AMERICAN BEACON MID-CAP VALUE FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US02368A3150
62,AACJX,AACJX,USA,NMFQS,USD,FUND,
63,AACKX,AACKX,USA,NMFQS,USD,FUND,
64,AACLX,AACLX,USA,NMFQS,USD,FUND,
65,AACMX,AACMX,USA,NMFQS,USD,FUND,
66,AACOX,OPPORTUNISTIC FUND CLASS C,USA,NMFQS,USD,FUND,
67,AACPX,AACPX,USA,NMFQS,USD,FUND,
68,AACQX,AACQX,USA,NMFQS,USD,FUND,
69,AACRX,STRATEGIC ALLOCATION: CONSERVATIVE FUND R CLASS,USA,NMFQS,USD,FUND,
70,AACS,American Commerce Solutions Inc,USA,PINK,USD,Common Stock,US0251991008
71,AACSX,AACSX,USA,NMFQS,USD,FUND,
72,AACTF,Aurora Solar Technologies Inc,USA,PINK,USD,Common Stock,CA05207J1084
73,AACTX,AMERICAN FUNDS 2020 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T8457
74,AACUX,AACUX,USA,NMFQS,USD,FUND,
75,AACVX,AACVX,USA,NMFQS,USD,FUND,
76,AACWX,AACWX,USA,NMFQS,USD,FUND,
77,AACZX,AACZX,USA,NMFQS,USD,FUND,
78,AADAX,INVESCO GROWTH ALLOCATION FUND CLASS A,USA,NMFQS,USD,FUND,US00141M5498
79,AADBX,AMERICAN BEACON BALANCED FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US02368A1097
80,AADCX,INVESCO GROWTH ALLOCATION FUND CLASS C,USA,NMFQS,USD,FUND,US00141M5233
81,AADEX,AMERICAN BEACON LARGE CAP VALUE FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US02368A2087
82,AADHX,AADHX,USA,NMFQS,USD,FUND,
83,AADI,Aadi Bioscience Inc,USA,NASDAQ,USD,Common Stock,US00032Q1040
84,AADIX,INVESCO GROWTH ALLOCATION FUND CLASS R5,USA,NMFQS,USD,FUND,
85,AADJX,AADJX,USA,NMFQS,USD,FUND,
86,AADKX,AADKX,USA,NMFQS,USD,FUND,
87,AADLX,AADLX,USA,NMFQS,USD,FUND,
88,AADMX,AADMX,USA,NMFQS,USD,FUND,
89,AADNX,AADNX,USA,NMFQS,USD,FUND,
90,AADOX,AADOX,USA,NMFQS,USD,FUND,
91,AADPX,AADPX,USA,NMFQS,USD,FUND,
92,AADQX,AADQX,USA,NMFQS,USD,FUND,
93,AADR,AdvisorShares Dorsey Wright ADR ETF,USA,NASDAQ,USD,ETF,US00768Y2063
94,AADRX,INVESCO GROWTH ALLOCATION FUND CLASS R,USA,NMFQS,USD,FUND,
95,AADSX,INVESCO GROWTH ALLOCATION FUND CLASS S,USA,NMFQS,USD,FUND,
96,AADTX,AMERICAN FUNDS 2025 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T7798
97,AADUX,AADUX,USA,NMFQS,USD,FUND,
98,AADVX,AADVX,USA,NMFQS,USD,FUND,
99,AADWX,AADWX,USA,NMFQS,USD,FUND,
100,AADYX,INVESCO GROWTH ALLOCATION FUND CLASS Y,USA,NMFQS,USD,FUND,
101,AADZX,AADZX,USA,NMFQS,USD,FUND,
102,AAECX,AAECX,USA,NMFQS,USD,FUND,
103,AAEDX,AAEDX,USA,NMFQS,USD,FUND,
104,AAEEF,Altair Resources Inc,USA,PINK,USD,Common Stock,
105,AAEEX,AAEEX,USA,NMFQS,USD,FUND,
106,AAEFX,AAEFX,USA,NMFQS,USD,FUND,
107,AAEGX,AAEGX,USA,NMFQS,USD,FUND,
108,AAEHX,AAEHX,USA,NMFQS,USD,FUND,
109,AAEIX,AAEIX,USA,NMFQS,USD,FUND,
110,AAEJX,AAEJX,USA,NMFQS,USD,FUND,
111,AAEKX,AAEKX,USA,NMFQS,USD,FUND,
112,AAELX,AAELX,USA,NMFQS,USD,FUND,
113,AAEMX,ALGER EMERGING MARKETS FUND ALGER EMERGING MARKETS FUND CLASS A,USA,NMFQS,USD,FUND,
114,AAENX,STRATEGIC ENHANCED YIELD FUND CLASS A,USA,NMFQS,USD,FUND,
115,AAEOX,AAEOX,USA,NMFQS,USD,FUND,
116,AAERX,American Beacon Intl Equity Fund R6 Cl,USA,NMFQS,USD,FUND,
117,AAESX,Invesco Growth Allocation Fund Class R6,USA,NMFQS,USD,FUND,
118,AAETX,AMERICAN FUNDS 2030 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T7129
119,AAEUX,AAEUX,USA,NMFQS,USD,FUND,
120,AAEVX,AAEVX,USA,NMFQS,USD,FUND,
121,AAEWX,AAEWX,USA,NMFQS,USD,FUND,
122,AAFRF,Airtel Africa Plc,USA,PINK,USD,Common Stock,
123,AAFTX,AMERICAN FUNDS 2035 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T6477
124,AAFXX,AAFXX,USA,NMFQS,USD,FUND,
125,AAGC,All American Gold Corp,USA,PINK,USD,Common Stock,US01643V1026
126,AAGEF,AAG Energy Holdings Limited,USA,PINK,USD,Common Stock,
127,AAGFF,Aftermath Silver Ltd,USA,OTCQX,USD,Common Stock,
128,AAGH,America Great Health,USA,PINK,USD,Common Stock,US02365T1016
129,AAGIY,AIA Group Limited,USA,PINK,USD,Common Stock,US0013172053
130,AAGOX,ALGER LARGE CAP GROWTH PORTFOLIO ALGER LARGE CAP GROWTH PORTFOLIO CLASS I-2,USA,NMFQS,USD,FUND,US0155445051
131,AAGPX,AMERICAN BEACON LARGE CAP VALUE FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,US02368A8100
132,AAGRY,PT Astra Agro Lestari Tbk,USA,PINK,USD,Common Stock,US0463011074
133,AAGTX,AMERICAN FUNDS 2040 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T5719
134,AAHAX,AAHAX,USA,NMFQS,USD,FUND,
135,AAHMX,ALPINE HIGH YIELD MANAGED DURATION MUNICIPAL FUND CLASS A,USA,NMFQS,USD,FUND,
136,AAHTX,AMERICAN FUNDS 2045 TARGET DATE RETIREMENT FUND CLASS A,USA,NMFQS,USD,FUND,US02630T5149
137,AAHYX,THRIVENT DIVERSIFIED INCOME PLUS FUND CLASS A,USA,NMFQS,USD,FUND,US8858824720
138,AAIBX,MODERATE DURATION FUND CLASS A,USA,NMFQS,USD,FUND,
139,AAIC,Arlington Asset Investment Corp,USA,NYSE,USD,Common Stock,US0413562051
140,AAIC-PB,Arlington Asset Investment Corp,USA,NYSE,USD,Preferred Stock,
141,AAIC-PC,Arlington Asset Investment Corp,USA,NYSE,USD,Preferred Stock,
142,AAIDX,AAIDX,USA,NASDAQ,USD,FUND,
